Key_Words,Group_Code,Weight
Conceptual Art,CPA,32526560
Photography,PHY,39666520
Installation Art,ISA,25021970
Young British Artist,YBA,43416760
Painter,PAT,25021970
Sculptor,SPT,14610
Video Art,VDA,91820
Performance Art,PFA,43416760
Designer,DES,3017710
Activist Art,ATA,103890
